,Type,FD_Algorithm,Nodes_Number,Degree,CCL_Grana_Time,CCL_Wu_Time,CT_Time
0,Uniform,KK_W,500,15,51.102000000000004,62.493,32.912
1,Uniform,KK_W,1000,15,185.79,218.726,214.42600000000002
2,Uniform,KK_W,2000,15,622.468,858.196,712.9300000000001
3,Uniform,KK_W,3000,15,1506.724,1955.712,1714.3500000000001
4,Uniform,KK,500,15,46.872,49.743,75.797
5,Uniform,KK,1000,15,152.624,190.048,198.927
6,Uniform,KK,2000,15,567.777,749.549,504.65000000000003
7,Uniform,KK,3000,15,855.8870000000001,1561.595,968.727
8,Uniform,JIGGLE,500,15,52.178000000000004,62.497,58.173
9,Uniform,JIGGLE,1000,15,134.615,218.697,149.6
10,Uniform,JIGGLE,2000,15,548.628,813.759,604.395
11,Uniform,JIGGLE,3000,15,1057.883,1651.923,1088.1290000000001
12,Uniform,FRU,500,15,50.107,62.483000000000004,71.808
13,Uniform,FRU,1000,15,131.744,363.036,171.559
14,Uniform,FRU,2000,15,591.005,786.4490000000001,605.125
15,Uniform,FRU,3000,15,1193.094,1732.4940000000001,1315.481
16,Uniform,FR,500,15,57.134,132.466,40.066
17,Uniform,FR,1000,15,133.641,175.845,225.39600000000002
18,Uniform,FR,2000,15,717.062,830.534,640.842
19,Uniform,FR,3000,15,1275.588,2531.201,1236.81
20,Uniform,FDGE,500,15,42.922000000000004,61.889,66.82000000000001
21,Uniform,FDGE,1000,15,189.66,231.287,253.711
22,Uniform,FDGE,2000,15,806.297,1146.282,991.64
23,Uniform,FDGE,3000,15,1888.136,2146.8070000000002,2367.852
24,Uniform,FA2,500,15,49.124,80.971,54.0
25,Uniform,FA2,1000,15,156.805,198.435,138.934
26,Uniform,FA2,2000,15,533.116,789.076,574.65
27,Uniform,FA2,3000,15,1437.345,1760.1770000000001,1643.604
28,Uniform,DH,500,15,50.45,55.509,62.175000000000004
29,Uniform,DH,1000,15,179.224,203.45600000000002,118.681
30,Uniform,DH,2000,15,454.99,669.494,387.967
31,Uniform,DH,3000,15,1038.559,1685.267,1090.693
