,Type,FD_Algorithm,Nodes_Number,Degree,CCL_Grana_Time,CCL_Wu_Time,CT_Time
0,Sparse,FR,500,6,1075.1580000000001,62.36,38.895
1,Sparse,FR,1000,6,190.614,190.519,181.089
2,Sparse,FR,2000,6,631.789,765.9540000000001,529.7570000000001
3,Sparse,FR,3000,6,1370.362,1633.2440000000001,1322.2730000000001
4,Sparse,FA2,500,6,81.718,44.875,45.205
5,Sparse,FA2,1000,6,185.745,161.54,135.93
6,Sparse,FA2,2000,6,607.005,747.0360000000001,508.639
7,Sparse,FA2,3000,6,1363.653,1769.243,1208.771
8,Sparse,JIGGLE,500,6,57.274,52.947,65.606
9,Sparse,JIGGLE,1000,6,145.645,170.412,102.72500000000001
10,Sparse,JIGGLE,2000,6,514.699,766.847,422.42400000000004
11,Sparse,JIGGLE,3000,6,1332.4080000000001,1859.025,1338.792
12,Sparse,KK,500,6,53.410000000000004,63.684000000000005,74.85300000000001
13,Sparse,KK,1000,6,161.875,190.06,129.882
14,Sparse,KK,2000,6,559.816,762.618,638.292
15,Sparse,KK,3000,6,1074.586,1800.525,1219.946
